url_wp,http_status,tipo,clics_28d,imp_28d,pos_media,url_drupal,redirect,prioridad,canonica_wp,notas
https://www.perugrandtravel.com/blog/things-to-do-in-machu-picchu/,200,blog,1,6115,5.78,404-en-staging,301,P0-blog-top10-CTR,https://www.perugrandtravel.com/blog/things-to-do-in-machu-picchu/,404 en 147.135.114.64/blog/things-to-do-in-machu-picchu/ — CRITICO
https://www.perugrandtravel.com/blog/museums-in-machu-picchu/,200,blog,1,2494,6.28,TBD,301,P0-blog-top10-CTR,https://www.perugrandtravel.com/blog/museums-in-machu-picchu/,HOY/MAÑANA: auditar title/meta + enlaces a tours + WA
https://www.perugrandtravel.com/blog/san-juan-de-letran-church/,200,blog,0,1239,7.27,TBD,301,P0-blog-top10-CTR,https://www.perugrandtravel.com/blog/san-juan-de-letran-church/,HOY/MAÑANA: auditar title/meta + enlaces a tours + WA
https://www.perugrandtravel.com/blog/ceviche-peru-in-10-days/,200,blog,1,985,8.00,TBD,301,P0-blog-top10-CTR,https://www.perugrandtravel.com/blog/ceviche-peru-in-10-days/,HOY/MAÑANA: auditar title/meta + enlaces a tours + WA
https://www.perugrandtravel.com/blog/valentines-day-travel-ideas/,200,blog,1,877,9.72,TBD,301,P0-blog-top10-CTR,https://www.perugrandtravel.com/blog/valentines-day-travel-ideas/,HOY/MAÑANA: auditar title/meta + enlaces a tours + WA
https://www.perugrandtravel.com/blog/temple-of-the-merced-in-puno/,200,blog,1,513,8.51,TBD,301,P0-blog-top10-CTR,https://www.perugrandtravel.com/blog/temple-of-the-merced-in-puno/,HOY/MAÑANA: auditar title/meta + enlaces a tours + WA
https://www.perugrandtravel.com/tour/the-classic-salkantay-trek-5d/,200,tour,1,1218,26.79,http://147.135.114.64/product/9,301,P1-tour-quickwin,https://www.perugrandtravel.com/tour/the-classic-salkantay-trek-5d/,Drupal /product/9 — slug distinto; cart no WA; canonical relativo
https://www.perugrandtravel.com/tour/cusco-planetarium/,200,tour,1,784,20.62,TBD,301,P1-tour-quickwin,https://www.perugrandtravel.com/tour/cusco-planetarium/,Auditar title/meta/WA/schema
https://www.perugrandtravel.com/tour/spectacular-cusco-7-days/,200,tour,1,556,24.91,TBD,301,P1-tour-quickwin,https://www.perugrandtravel.com/tour/spectacular-cusco-7-days/,Auditar title/meta/WA/schema
https://www.perugrandtravel.com/tour/machu-picchu-express-3d/,200,tour,1,528,29.78,TBD,301,P1-tour-quickwin,https://www.perugrandtravel.com/tour/machu-picchu-express-3d/,Auditar title/meta/WA/schema
https://www.perugrandtravel.com/tour/salkantay-trek-4-days/,200,tour,1,3259,51.46,TBD,301,P1-tour-volumen,https://www.perugrandtravel.com/tour/salkantay-trek-4-days/,Auditar title/meta/WA/schema
https://www.perugrandtravel.com/tour/maras-moray-and-the-salineras-full-day/,200,tour,1,2816,46.89,TBD,301,P1-tour-volumen,https://www.perugrandtravel.com/tour/maras-moray-and-the-salineras-full-day/,Auditar title/meta/WA/schema
https://www.perugrandtravel.com/tour/qeswachaka-bridge-full-day/,200,tour,1,1611,30.18,TBD,301,P1-tour-volumen,https://www.perugrandtravel.com/tour/qeswachaka-bridge-full-day/,Auditar title/meta/WA/schema
https://www.perugrandtravel.com/tour/sacred-valley-short-inca-trail-3d/,200,tour,1,1603,58.84,TBD,301,P1-tour-volumen,https://www.perugrandtravel.com/tour/sacred-valley-short-inca-trail-3d/,Auditar title/meta/WA/schema
https://www.perugrandtravel.com/tour/incredible-machu-picchu-2d/,200,tour,1,1329,45.54,TBD,301,P1-tour-volumen,https://www.perugrandtravel.com/tour/incredible-machu-picchu-2d/,Auditar title/meta/WA/schema
https://www.perugrandtravel.com/tour/cusco-corpus-christi/,200,tour,1,1211,33.92,TBD,301,P1-tour-volumen,https://www.perugrandtravel.com/tour/cusco-corpus-christi/,Auditar title/meta/WA/schema
https://www.perugrandtravel.com/tour/machu-picchu-moderate-4d/,200,tour,1,1209,38.05,TBD,301,P1-tour-volumen,https://www.perugrandtravel.com/tour/machu-picchu-moderate-4d/,Auditar title/meta/WA/schema
https://www.perugrandtravel.com/tour/humantay-lake-full-day/,200,tour,1,1107,67.81,TBD,301,P1-tour-volumen,https://www.perugrandtravel.com/tour/humantay-lake-full-day/,Auditar title/meta/WA/schema
https://www.perugrandtravel.com/blog/museums-in-cusco/,200,blog,0,1811,22.37,TBD,301,P1-blog-quickwin,https://www.perugrandtravel.com/blog/museums-in-cusco/,Auditar snippet; candidato a mejorar CTR
https://www.perugrandtravel.com/blog/what-is-the-best-time-to-travel-to-peru-machu-picchu/,200,blog,0,10711,80.86,TBD,301,P1-blog-volumen-0clk,https://www.perugrandtravel.com/blog/what-is-the-best-time-to-travel-to-peru-machu-picchu/,Revisar intención; no reescribir entero aún; mapa 301
https://www.perugrandtravel.com/blog/climate-in-peru-best-time-to-travel/,200,blog,0,6674,49.39,TBD,301,P1-blog-volumen-0clk,https://www.perugrandtravel.com/blog/climate-in-peru-best-time-to-travel/,Revisar intención; no reescribir entero aún; mapa 301
https://www.perugrandtravel.com/blog/visits-to-peru-one-week-itinerary/,200,blog,0,4637,59.93,TBD,301,P1-blog-volumen-0clk,https://www.perugrandtravel.com/blog/visits-to-peru-one-week-itinerary/,Revisar intención; no reescribir entero aún; mapa 301
https://www.perugrandtravel.com/blog/2-weeks-in-peru/,200,blog,0,4233,61.12,TBD,301,P1-blog-volumen-0clk,https://www.perugrandtravel.com/blog/2-weeks-in-peru/,Revisar intención; no reescribir entero aún; mapa 301
https://www.perugrandtravel.com/blog/luxury-peru-vacations/,200,blog,0,3811,58.40,TBD,301,P1-blog-volumen-0clk,https://www.perugrandtravel.com/blog/luxury-peru-vacations/,Revisar intención; no reescribir entero aún; mapa 301
https://www.perugrandtravel.com/blog/beaches-in-lima/,200,blog,0,3345,42.18,TBD,301,P1-blog-volumen-0clk,https://www.perugrandtravel.com/blog/beaches-in-lima/,Revisar intención; no reescribir entero aún; mapa 301
